X1	X2	year_date	letter_id	folio_or_catalogue
446	888	1617	L945	F48
358	613	1617	L946	F29
112	305	1617	L947	F8
112	7874	1617	L948	F8
92	613	1617	L949	NA
305	7812	1617	L950	NA
431	613	1617	L951	F29
401	7875	1617	L952	F35
413	613	1618	L953	F29
447	401	1618	L954	F35
447	401	1618	L955	F35
437	401	1618	L956	F35
112	7876	1618	L957	F8
112	305	1618	L958	F8
257	256	1618	L959	F47
448	319	1618	L960	F45
155	7877	1618	L961	F10
449	576	1618	L962	F32
112	695	1618	L963	F8
112	305	1618	L964	F8
413	613	1618	L965	F29
381	888	1618	L966	F48
450	888	1618	L967	F48
381	888	1618	L968	F48
451	319	1618	L969	F45
319	7878	1618	L970	F44
305	7812	1618	L971	NA
305	319	1618	L972	F45
422	304	1618	L973	F25
59	7879	1618	L974	F29
452	430	1618	L975	F47
432	305	1618	L976	F8
453	256	1618	L977	F47
322	256	1618	L978	F47
454	888	1618	L979	F48
311	319	1618	L980	F45
455	401	1618	L981	F25
456	256	1618	L982	F47
457	576	1618	L983	F32
444	613	1618	L984	NA
393	888	1618	L985	F48
456	256	1618	L986	F47
458	576	1618	L987	F32
257	256	1618	L988	F47
459	79	1618	L989	F47
377	576	1618	L990	F32
460	256	1618	L991	F47
112	448	1618	L992	F8
461	430	1619	L993	F47
462	888	1619	L994	F48
463	256	1619	L995	F47
464	256	1619	L996	F47
465	79	1619	L997	F47
112	576	1619	L998	F32
466	256	1619	L999	F47
455	401	1619	L1000	F25
340	256	1619	L1001	F47
444	613	1619	L1002	F29
444	613	1619	L1003	NA
456	256	1619	L1004	F47
291	603	1619	L1005	F47
326	613	1619	L1006	NA
467	576	1619	L1007	F32
463	256	1619	L1008	F47
347	401	1619	L1009	F35
468	613	1619	L1010	F29
469	79	1619	L1011	F47
405	256	1619	L1012	F47
311	319	1619	L1013	F45
59	223	1619	L1014	F29
59	676	1619	L1014	F29
59	613	1619	L1014	F29
470	888	1619	L1015	F48
460	256	1619	L1016	F47
471	963	1619	L1017	F28
330	613	1619	L1018	F29
467	576	1619	L1019	F32
112	305	1619	L1020	F8
112	7865	1619	L1021	F8
472	304	1619	L1022	F51
454	888	1619	L1023	F48
