X1	X2	year_date	letter_id	folio_or_catalogue
106	10020	1567	L928	F10
106	68	1567	L929	F10
165	106	1567	L930	F10
144	106	1567	L931	F10
106	690	1567	L932	F10
106	165	1567	L933	F10
106	169	1567	L934	F10
106	169	1567	L935	F10
106	38	1567	L936	F10
64	9972	1567	L937	F11
106	403	1567	L938	F10
106	165	1567	L939	F10
33	148	1567	L940	F7
33	40	1567	L941	F7
106	403	1567	L942	F10
106	403	1567	L943	F10
106	68	1567	L944	F10
116	33	1567	L945	F7
106	169	1567	L946	F10
106	68	1567	L947	F10
106	77	1567	L948	F10
106	68	1567	L949	F10
166	64	1567	L950	F11
167	76	1567	L951	F8
33	104	1567	L952	F7
106	155	1567	L953	F10
160	106	1567	L954	F10
106	403	1567	L955	F10
148	33	1567	L956	F7
106	68	1567	L957	F10
106	403	1567	L958	F10
106	68	1567	L959	F10
73	1247	1567	L960	F13
106	403	1567	L961	F10
148	33	1567	L962	F7
168	96	1567	L963	F14
148	33	1568	L964	F7
106	403	1568	L965	F10
106	184	1568	L966	F10
106	690	1568	L967	F10
144	106	1568	L968	F10
106	10021	1568	L969	F10
106	403	1568	L970	F10
106	169	1568	L971	F10
106	403	1568	L972	F10
169	106	1568	L973	F10
170	10022	1568	L974	F18
169	106	1568	L975	F10
106	155	1568	L976	F10
128	53	1568	L977	F9
106	68	1568	L978	F10
106	68	1568	L979	F10
169	106	1568	L980	F10
106	68	1568	L981	F10
106	10023	1568	L982	F10
106	10024	1568	L983	F10
106	268	1568	L984	F10
106	403	1568	L985	F10
106	403	1568	L986	F10
169	106	1568	L987	F10
106	155	1568	L988	F10
33	148	1568	L989	F7
33	155	1568	L990	F7
106	68	1568	L991	F10
106	10025	1568	L992	F10
171	174	1568	L993	F8
172	73	1568	L994	F13
106	155	1568	L995	F10
106	68	1568	L996	F10
106	10025	1568	L997	F10
106	9995	1568	L998	F10
106	10021	1568	L999	F10
106	268	1568	L1000	F10
106	165	1568	L1001	F10
106	10026	1568	L1001	F10
106	68	1568	L1002	F10
106	268	1568	L1003	F10
106	77	1568	L1004	F10
106	512	1568	L1005	F10
106	403	1568	L1006	F10
173	73	1568	L1007	F13
148	33	1568	L1008	F7
174	89	1568	L1009	F8
106	10027	1568	L1010	F10
106	68	1568	L1011	F10
106	403	1568	L1012	F10
64	128	1568	L1013	F11
106	68	1568	L1014	F10
130	10028	1568	L1015	F10
33	41	1568	L1016	F7
33	148	1568	L1017	F7
106	68	1568	L1018	F10
